Data Source,Time,Value
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 19:01:53,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 19:01:56,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 20:01:55,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 20:01:58,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 21:01:56,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 21:01:59,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 21:11:01,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 22:01:56,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 22:01:59,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 22:41:02,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 23:01:56,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-06 23:01:59,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 00:01:56,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 00:01:59,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 01:01:56,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 01:01:59,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 02:01:56,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 02:01:59,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 03:01:56,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 03:01:59,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 04:01:58,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 04:02:01,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 05:01:59,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 05:02:02,0.0299999993294477
\\SANPIAFPRDV01\MFG-AF\Astellas Gene Therapies\Sanford\Enterprise Park\CS-2 Manufacturing\INC-30001|CO2.PV,2025-09-07 06:01:59,0.0299999993294477
